자치구기준일,중구,용산구,동대문구,강북구,은평구,서대문구,마포구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구
2021.10.31.00,2095,3166,4548,3302,5038,3156,4323,2767,5516,4820,6262,4774,7911,7435
2021.10.30.00,2076,3149,4508,3273,5018,3143,4302,2751,5467,4788,6218,4758,7886,7384
2021.10.29.00,2058,3140,4451,3245,4998,3135,4279,2733,5416,4764,6171,4742,7861,7345
2021.10.28.00,2043,3125,4404,3214,4978,3128,4253,2703,5372,4744,6136,4719,7840,7297
2021.10.27.00,2030,3116,4352,3188,4965,3111,4234,2669,5328,4723,6102,4702,7791,7236
2021.10.26.00,2018,3097,4325,3160,4934,3103,4218,2650,5294,4698,6062,4670,7764,7195
2021.10.25.00,2017,3094,4310,3154,4925,3096,4207,2647,5265,4682,6042,4651,7739,7178
2021.10.24.00,2012,3091,4294,3139,4915,3090,4200,2634,5241,4670,6017,4628,7722,7145
2021.10.23.00,2004,3076,4272,3123,4903,3081,4191,2608,5211,4654,5989,4607,7699,7107
2021.10.22.00,1989,3064,4248,3105,4887,3067,4176,2568,5177,4638,5976,4588,7664,7094
2021.10.21.00,1983,3055,4218,3094,4866,3057,4164,2554,5145,4609,5954,4573,7632,7070
2021.10.20.00,1968,3049,4197,3080,4845,3043,4157,2540,5111,4581,5924,4556,7609,7047
2021.10.19.00,1959,3041,4177,3063,4827,3027,4134,2526,5072,4557,5902,4545,7589,7028
2021.10.18.00,1960,3031,4165,3054,4818,3024,4127,2512,5062,4535,5893,4541,7570,7015
2021.10.17.00,1956,3023,4155,3045,4809,3017,4121,2494,5039,4523,5877,4536,7550,7001
2021.10.16.00,1949,3006,4137,3034,4781,3001,4112,2477,5007,4502,5858,4530,7521,6983
2021.10.15.00,1938,2995,4117,3017,4750,2983,4102,2454,4971,4480,5822,4521,7485,6952
2021.10.14.00,1930,2976,4073,2993,4717,2960,4082,2421,4940,4460,5798,4511,7450,6923
2021.10.13.00,1922,2957,4043,2971,4677,2949,4060,2384,4888,4434,5761,4500,7408,6888
2021.10.12.00,1913,2938,4011,2969,4650,2933,4035,2367,4859,4421,5738,4485,7371,6858
2021.10.11.00,1908,2916,3992,2938,4635,2919,4023,2356,4842,4401,5723,4476,7323,6839
2021.10.10.00,1899,2906,3967,2923,4616,2911,4012,2328,4817,4387,5703,4463,7296,6815
2021.10.09.00,1892,2878,3938,2903,4584,2899,3994,2305,4797,4364,5679,4456,7268,6780
2021.10.08.00,1875,2853,3881,2870,4553,2874,3969,2275,4768,4331,5658,4440,7235,6740
